"row_index","batch","cell_type","cell_observed_mixing_score"
518,"P56_batch2","stroma1",0.666666666666667
519,"P56_batch2","Endo",0.466666666666667
520,"P56_batch2","PT",0.633333333333333
521,"P56_batch2","PT_out",0.6
522,"P56_batch2","PT",0.466666666666667
523,"P56_batch2","Endo",0.666666666666667
524,"P56_batch2","Endo",0.666666666666667
525,"P56_batch2","PT2",0.3
526,"P56_batch2","LOH",0.6
527,"P56_batch2","PT",0.6
528,"P56_batch2","LOH",0.5
529,"P56_batch2","stroma2",0.6
530,"P56_batch2","PT",0.566666666666667
531,"P56_batch2","PT",0.433333333333333
532,"P56_batch2","CNT",0.7
533,"P56_batch2","Endo",0.7
534,"P56_batch2","PT",0.433333333333333
535,"P56_batch2","LOH",0.633333333333333
536,"P56_batch2","LOH",0.633333333333333
537,"P56_batch2","PT2",0.3
538,"P56_batch2","PC",0.533333333333333
539,"P56_batch2","PT",0.566666666666667
540,"P56_batch2","PT",0.433333333333333
541,"P56_batch2","LOH",0.733333333333333
542,"P56_batch2","PT2",0.0666666666666667
543,"P56_batch2","PT_out",0.166666666666667
544,"P56_batch2","PT",0.6
545,"P56_batch2","PT",0.6
546,"P56_batch2","PT",0.533333333333333
547,"P56_batch2","PT2",0.233333333333333
548,"P56_batch2","PT",0.7
549,"P56_batch2","Endo",0.633333333333333
550,"P56_batch2","Endo",0.8
551,"P56_batch2","IC",0.5
552,"P56_batch2","PT",0.566666666666667
553,"P56_batch2","PC",0.433333333333333
554,"P56_batch2","LOH",0.4
555,"P56_batch2","LOH",0.5
556,"P56_batch2","PT",0.466666666666667
557,"P56_batch2","PT_out",0.266666666666667
558,"P56_batch2","DCT",0.2
559,"P56_batch2","PT2",0.3
560,"P56_batch2","PT",0.466666666666667
561,"P56_batch2","PT",0.533333333333333
562,"P56_batch2","immune",0.233333333333333
563,"P56_batch2","CNT",0.666666666666667
564,"P56_batch2","PT_out",0.666666666666667
565,"P56_batch2","PT",0.6
566,"P56_batch2","PT2",0.233333333333333
567,"P56_batch2","LOH",0.6
568,"P56_batch2","PT2",0.2
569,"P56_batch2","PT",0.5
570,"P56_batch2","Endo",0.6
571,"P56_batch2","DCT",0.433333333333333
572,"P56_batch2","PT2",0.566666666666667
573,"P56_batch2","Endo",0.666666666666667
574,"P56_batch2","PT",0.4
575,"P56_batch2","PT2",0.6
576,"P56_batch2","PC",0.2
577,"P56_batch2","PC",0.2
578,"P56_batch2","LOH",0.433333333333333
579,"P56_batch2","LOH",0.533333333333333
580,"P56_batch2","PT",0.433333333333333
581,"P56_batch2","NP_LOH",0.466666666666667
582,"P56_batch2","PT",0.566666666666667
583,"P56_batch2","PT",0.633333333333333
584,"P56_batch2","IC",0.4
585,"P56_batch2","PT",0.5
586,"P56_batch2","PT_out",0.4
587,"P56_batch2","LOH",0.7
588,"P56_batch2","PT2",0.333333333333333
589,"P56_batch2","PT",0.433333333333333
590,"P56_batch2","PT",0.633333333333333
591,"P56_batch2","PT",0.4
592,"P56_batch2","LOH",0.6
593,"P56_batch2","Endo",0.6
594,"P56_batch2","DCT",0.433333333333333
595,"P56_batch2","PT",0.533333333333333
596,"P56_batch2","LOH",0.333333333333333
597,"P56_batch2","DCT",0.533333333333333
598,"P56_batch2","PT",0.333333333333333
599,"P56_batch2","DCT",0.4
600,"P56_batch2","PT",0.3
601,"P56_batch2","PT2",0.333333333333333
602,"P56_batch2","stroma2",0.766666666666667
603,"P56_batch2","PT",0.166666666666667
604,"P56_batch2","immune",0.2
605,"P56_batch2","PT",0.533333333333333
606,"P56_batch2","DCT",0.266666666666667
607,"P56_batch2","PT2",0.533333333333333
608,"P56_batch2","PT",0.6
609,"P56_batch2","PT",0.433333333333333
610,"P56_batch2","Endo",0.466666666666667
