"row_index","batch","cell_type","cell_observed_mixing_score"
436,"P56_batch2","PT",0.1
437,"P56_batch2","PT",0.733333333333333
438,"P56_batch2","CNT",0
439,"P56_batch2","Endo",0.6
440,"P56_batch2","PT",0
441,"P56_batch2","LOH",0.0333333333333333
442,"P56_batch2","LOH",0.0333333333333333
443,"P56_batch2","LOH",0.1
444,"P56_batch2","PT",0.1
445,"P56_batch2","PT",0.7
446,"P56_batch2","Endo",0.633333333333333
447,"P56_batch2","CNT",0
448,"P56_batch2","DCT",0.2
449,"P56_batch2","immune",0.1
450,"P56_batch2","Endo",0.4
451,"P56_batch2","PT",0
452,"P56_batch2","PT",0
453,"P56_batch2","PT",0.0666666666666667
454,"P56_batch2","PT",0
455,"P56_batch2","PT",0.1
456,"P56_batch2","PT2",0.966666666666667
457,"P56_batch2","LOH",0.0666666666666667
458,"P56_batch2","LOH",0.333333333333333
459,"P56_batch2","PT",0.0333333333333333
460,"P56_batch2","PT",0
461,"P56_batch2","PT",0.233333333333333
462,"P56_batch2","PT",0.733333333333333
463,"P56_batch2","PT_out",0.633333333333333
464,"P56_batch2","Endo",0.3
465,"P56_batch2","LOH",0.0333333333333333
466,"P56_batch2","PT",0.0333333333333333
467,"P56_batch2","PT2",0.8
468,"P56_batch2","PC",0.166666666666667
469,"P56_batch2","PT",0.166666666666667
470,"P56_batch2","PT",0.233333333333333
471,"P56_batch2","PT",0.133333333333333
472,"P56_batch2","PT",0.0333333333333333
473,"P56_batch2","PT2",0
474,"P56_batch2","PT2",0
475,"P56_batch2","Endo",0.2
476,"P56_batch2","NP_LOH",0.5
477,"P56_batch2","PT",0
478,"P56_batch2","PT",0.6
479,"P56_batch2","LOH",0
480,"P56_batch2","PT2",0
481,"P56_batch2","Endo",0.233333333333333
482,"P56_batch2","PT_out",0.733333333333333
483,"P56_batch2","LOH",0.4
484,"P56_batch2","stroma2",0.966666666666667
485,"P56_batch2","PT",0.1
486,"P56_batch2","LOH",0.0333333333333333
487,"P56_batch2","LOH",0
488,"P56_batch2","PT",0.533333333333333
489,"P56_batch2","LOH",0.0666666666666667
490,"P56_batch2","LOH",0
491,"P56_batch2","LOH",0
492,"P56_batch2","PT2",0.0333333333333333
493,"P56_batch2","NP_LOH",0.6
494,"P56_batch2","PC",0.833333333333333
495,"P56_batch2","Endo",0.233333333333333
496,"P56_batch2","IC",0
497,"P56_batch2","PT",0
498,"P56_batch2","LOH",0
499,"P56_batch2","PC",0.6
500,"P56_batch2","IC",0.1
501,"P56_batch2","LOH",0.2
502,"P56_batch2","PT",0.1
503,"P56_batch2","PT2",0
504,"P56_batch2","PT",0.0666666666666667
505,"P56_batch2","PT2",0
506,"P56_batch2","PT",0.166666666666667
507,"P56_batch2","stroma2",0.0333333333333333
508,"P56_batch2","PT",0.4
509,"P56_batch2","PT2",0
510,"P56_batch2","stroma2",0.1
511,"P56_batch2","PT",0.7
512,"P56_batch2","PT",0.333333333333333
513,"P56_batch2","PC",0.166666666666667
514,"P56_batch2","DCT",0
515,"P56_batch2","PT",0.0666666666666667
516,"P56_batch2","LOH",0
517,"P56_batch2","PT",0.133333333333333
518,"P56_batch2","stroma1",0.5
519,"P56_batch2","Endo",0.233333333333333
520,"P56_batch2","PT",0.233333333333333
521,"P56_batch2","PT_out",0
522,"P56_batch2","PT",0.6
523,"P56_batch2","Endo",0.166666666666667
524,"P56_batch2","Endo",0.0666666666666667
525,"P56_batch2","PT2",0
526,"P56_batch2","LOH",0.0333333333333333
527,"P56_batch2","PT",0
528,"P56_batch2","LOH",0
529,"P56_batch2","stroma2",0.0666666666666667
530,"P56_batch2","PT",0.133333333333333
531,"P56_batch2","PT",0.4
532,"P56_batch2","CNT",0
533,"P56_batch2","Endo",0.266666666666667
534,"P56_batch2","PT",0.7
535,"P56_batch2","LOH",0.0333333333333333
536,"P56_batch2","LOH",0.333333333333333
537,"P56_batch2","PT2",0
538,"P56_batch2","PC",0.233333333333333
539,"P56_batch2","PT",0
540,"P56_batch2","PT",0.0333333333333333
541,"P56_batch2","LOH",0.2
542,"P56_batch2","PT2",0
543,"P56_batch2","PT_out",0.966666666666667
544,"P56_batch2","PT",0.0333333333333333
545,"P56_batch2","PT",0.0666666666666667
546,"P56_batch2","PT",0.366666666666667
547,"P56_batch2","PT2",0.0333333333333333
548,"P56_batch2","PT",0.733333333333333
549,"P56_batch2","Endo",0.6
550,"P56_batch2","Endo",0.0666666666666667
551,"P56_batch2","IC",0.9
552,"P56_batch2","PT",0.0666666666666667
553,"P56_batch2","PC",0.566666666666667
554,"P56_batch2","LOH",0.0666666666666667
555,"P56_batch2","LOH",0.3
556,"P56_batch2","PT",0
557,"P56_batch2","PT_out",0.433333333333333
558,"P56_batch2","DCT",0.0666666666666667
559,"P56_batch2","PT2",0
560,"P56_batch2","PT",0.0333333333333333
561,"P56_batch2","PT",0
562,"P56_batch2","immune",0.366666666666667
563,"P56_batch2","CNT",0
564,"P56_batch2","PT_out",0.266666666666667
565,"P56_batch2","PT",0
566,"P56_batch2","PT2",0
567,"P56_batch2","LOH",0
568,"P56_batch2","PT2",0.0333333333333333
569,"P56_batch2","PT",0.0666666666666667
570,"P56_batch2","Endo",0.233333333333333
571,"P56_batch2","DCT",0
572,"P56_batch2","PT2",0.6
573,"P56_batch2","Endo",0.533333333333333
574,"P56_batch2","PT",0.633333333333333
575,"P56_batch2","PT2",0.0333333333333333
576,"P56_batch2","PC",0
577,"P56_batch2","PC",0
578,"P56_batch2","LOH",0.0333333333333333
579,"P56_batch2","LOH",0.466666666666667
580,"P56_batch2","PT",0
581,"P56_batch2","NP_LOH",0.3
582,"P56_batch2","PT",0.0333333333333333
583,"P56_batch2","PT",0.666666666666667
584,"P56_batch2","IC",0.0333333333333333
585,"P56_batch2","PT",0
586,"P56_batch2","PT_out",0.166666666666667
587,"P56_batch2","LOH",0.1
588,"P56_batch2","PT2",0.5
589,"P56_batch2","PT",0
590,"P56_batch2","PT",0.266666666666667
591,"P56_batch2","PT",0.733333333333333
592,"P56_batch2","LOH",0.0333333333333333
593,"P56_batch2","Endo",0.2
594,"P56_batch2","DCT",0.3
595,"P56_batch2","PT",0.0333333333333333
596,"P56_batch2","LOH",0.833333333333333
597,"P56_batch2","DCT",0
598,"P56_batch2","PT",0.0666666666666667
599,"P56_batch2","DCT",0.733333333333333
600,"P56_batch2","PT",0.1
601,"P56_batch2","PT2",0
602,"P56_batch2","stroma2",0.7
603,"P56_batch2","PT",0.9
604,"P56_batch2","immune",0.1
605,"P56_batch2","PT",0
606,"P56_batch2","DCT",0.6
607,"P56_batch2","PT2",0.933333333333333
